# Oscilloscope file ./4K-res-20uA-U.bin
# Channel 2
Time / s;Voltage / V
216.25;-0.002
216.5;0.002
216.75;0.004
217;0.008
217.25;-0.004
217.5;0.002
217.75;0.002
218;0.008
218.25;-0.002
218.5;0.002
218.75;0
219;0.008
219.25;-0.004
219.5;0.002
219.75;0.004
220;0.008
220.25;-0.002
220.5;0.002
220.75;0.002
221;0.008
221.25;-0.002
221.5;0.002
221.75;0.002
222;0.008
222.25;-0.002
222.5;0.002
222.75;0.002
223;0.008
223.25;-0.002
223.5;0.002
223.75;0
224;0.008
224.25;-0.002
224.5;0.004
224.75;0.004
225;0.008
225.25;-0.002
225.5;0.004
225.75;0
226;0.008
226.25;-0.002
226.5;0.002
226.75;0.004
227;0.008
227.25;-0.002
227.5;0.004
227.75;0.004
228;0.008
228.25;-0.002
228.5;0.002
228.75;0.004
229;0.008
229.25;-0.004
229.5;0.004
229.75;0.004
230;0.008
230.25;-0.002
230.5;0.004
230.75;0.004
231;0.008
231.25;-0.002
231.5;0.004
231.75;0.004
232;0.008
232.25;-0.002
232.5;0.004
232.75;0.004
233;0.008
233.25;-0.002
233.5;0.004
233.75;0.004
234;0.008
234.25;-0.002
234.5;0.004
234.75;0.006
235;0.01
235.25;-0.002
235.5;0.006
235.75;0.004
236;0.008
236.25;-0.002
236.5;0.002
236.75;0.002
237;0.008
237.25;0
237.5;0.006
237.75;0.002
238;0.008
238.25;0
238.5;0.002
238.75;0.006
239;0.008
239.25;0
239.5;0.006
239.75;0.002
240;0.01
240.25;0
240.5;0.008
240.75;0.004
241;0.01
241.25;0
241.5;0.002
241.75;0.008
242;0.01
242.25;0
242.5;0.002
242.75;0.006
243;0.01
243.25;-0.002
243.5;0.008
243.75;0.006
244;0.01
244.25;0
244.5;0.008
244.75;0.006
245;0.01
245.25;0
245.5;0.006
245.75;0.006
246;0.01
246.25;0
246.5;0.006
246.75;0.004
247;0.01
247.25;0
247.5;0.006
247.75;0.008
248;0.01
248.25;0
248.5;0.008
248.75;0.006
249;0.012
249.25;0
249.5;0.006
249.75;0.002
250;0.012
250.25;0.002
250.5;0.008
250.75;0.006
251;0.012
251.25;0.002
251.5;0.004
251.75;0.004
252;0.012
252.25;0.002
252.5;0.006
252.75;0.006
253;0.012
253.25;0.002
253.5;0.008
253.75;0.01
254;0.012
254.25;0.004
254.5;0.01
254.75;0.008
255;0.012
255.25;0.004
255.5;0.008
255.75;0.008
256;0.012
256.25;0.004
256.5;0.008
256.75;0.008
257;0.014
257.25;0.004
257.5;0.01
257.75;0.006
258;0.014
258.25;0.004
258.5;0.01
258.75;0.008
259;0.014
259.25;0.006
259.5;0.01
259.75;0.012
260;0.014
260.25;0.006
260.5;0.01
260.75;0.01
261;0.016
261.25;0.006
261.5;0.012
261.75;0.012
262;0.016
262.25;0.006
262.5;0.01
262.75;0.012
263;0.016
263.25;0.008
263.5;0.012
263.75;0.012
264;0.018
264.25;0.008
264.5;0.012
264.75;0.016
265;0.018
265.25;0.008
265.5;0.012
265.75;0.012
266;0.02
266.25;0.008
266.5;0.016
266.75;0.014
267;0.018
267.25;0.01
267.5;0.014
267.75;0.016
268;0.02
268.25;0.01
268.5;0.016
268.75;0.014
269;0.02
269.25;0.01
269.5;0.016
269.75;0.016
270;0.02
270.25;0.012
270.5;0.016
270.75;0.016
271;0.02
271.25;0.012
271.5;0.014
271.75;0.018
272;0.022
272.25;0.012
272.5;0.018
272.75;0.018
273;0.024
273.25;0.014
273.5;0.018
273.75;0.02
274;0.022
274.25;0.014
274.5;0.02
274.75;0.02
275;0.024
275.25;0.014
275.5;0.02
275.75;0.02
276;0.026
276.25;0.016
276.5;0.02
276.75;0.022
277;0.026
277.25;0.016
277.5;0.022
277.75;0.024
278;0.026
278.25;0.018
278.5;0.022
278.75;0.022
279;0.028
279.25;0.018
279.5;0.022
279.75;0.022
280;0.028
280.25;0.02
280.5;0.024
280.75;0.022
281;0.028
281.25;0.02
281.5;0.024
281.75;0.026
282;0.03
282.25;0.022
282.5;0.026
282.75;0.026
283;0.03
283.25;0.022
283.5;0.028
283.75;0.026
284;0.032
284.25;0.022
284.5;0.03
284.75;0.028
285;0.032
285.25;0.024
285.5;0.028
285.75;0.028
286;0.034
286.25;0.024
286.5;0.028
286.75;0.03
287;0.034
287.25;0.026
287.5;0.028
287.75;0.03
288;0.034
288.25;0.026
288.5;0.032
288.75;0.03
289;0.036
289.25;0.026
289.5;0.032
289.75;0.032
290;0.038
290.25;0.028
290.5;0.032
290.75;0.032
291;0.038
291.25;0.028
291.5;0.034
291.75;0.032
292;0.038
292.25;0.03
292.5;0.034
292.75;0.036
293;0.04
293.25;0.03
293.5;0.034
293.75;0.034
294;0.04
294.25;0.032
294.5;0.036
294.75;0.036
295;0.042
295.25;0.032
295.5;0.036
295.75;0.036
296;0.042
296.25;0.034
296.5;0.038
296.75;0.036
297;0.042
297.25;0.034
297.5;0.036
297.75;0.038
298;0.044
298.25;0.036
298.5;0.038
298.75;0.038
299;0.044
299.25;0.034
299.5;0.04
299.75;0.04
300;0.044
300.25;0.036
300.5;0.042
300.75;0.04
301;0.046
301.25;0.038
301.5;0.042
301.75;0.042
302;0.046
302.25;0.038
302.5;0.042
302.75;0.044
303;0.046
303.25;0.038
303.5;0.044
303.75;0.042
304;0.048
304.25;0.04
304.5;0.044
304.75;0.042
305;0.048
305.25;0.04
305.5;0.042
305.75;0.044
306;0.048
306.25;0.04
306.5;0.046
306.75;0.046
307;0.05
307.25;0.04
307.5;0.046
307.75;0.044
308;0.05
308.25;0.042
308.5;0.044
308.75;0.046
309;0.05
309.25;0.042
309.5;0.046
309.75;0.048
310;0.05
310.25;0.042
310.5;0.046
310.75;0.048
311;0.052
311.25;0.042
311.5;0.048
311.75;0.048
312;0.05
312.25;0.044
312.5;0.048
312.75;0.048
313;0.052
313.25;0.044
313.5;0.046
313.75;0.048
314;0.052
314.25;0.044
314.5;0.046
314.75;0.048
315;0.052
315.25;0.044
315.5;0.048
315.75;0.046
316;0.052
316.25;0.044
316.5;0.048
316.75;0.05
317;0.054
317.25;0.044
317.5;0.05
317.75;0.048
318;0.052
318.25;0.044
318.5;0.048
318.75;0.05
319;0.054
319.25;0.044
319.5;0.048
319.75;0.048
320;0.054
320.25;0.044
320.5;0.052
320.75;0.05
321;0.054
321.25;0.044
321.5;0.05
321.75;0.048
322;0.054
322.25;0.046
322.5;0.048
322.75;0.05
323;0.054
323.25;0.046
323.5;0.052
323.75;0.05
324;0.054
324.25;0.046
324.5;0.048
324.75;0.05
325;0.054
325.25;0.046
325.5;0.048
325.75;0.048
326;0.054
326.25;0.046
326.5;0.048
326.75;0.05
327;0.054
327.25;0.046
327.5;0.05
327.75;0.05
328;0.054
328.25;0.044
328.5;0.05
328.75;0.05
329;0.052
329.25;0.046
329.5;0.048
329.75;0.048
330;0.054
330.25;0.046
330.5;0.048
330.75;0.05
331;0.054
331.25;0.044
331.5;0.05
331.75;0.05
332;0.052
332.25;0.044
332.5;0.05
332.75;0.048
333;0.054
333.25;0.044
333.5;0.048
333.75;0.05
334;0.052
334.25;0.044
334.5;0.048
334.75;0.048
335;0.052
335.25;0.044
335.5;0.05
335.75;0.05
336;0.052
336.25;0.042
336.5;0.048
336.75;0.048
337;0.052
337.25;0.044
337.5;0.046
337.75;0.048
338;0.052
338.25;0.044
338.5;0.048
338.75;0.048
339;0.052
339.25;0.044
339.5;0.048
339.75;0.048
340;0.052
340.25;0.042
340.5;0.048
340.75;0.048
341;0.052
341.25;0.044
341.5;0.048
341.75;0.046
342;0.052
342.25;0.042
342.5;0.046
342.75;0.046
343;0.052
343.25;0.042
343.5;0.046
343.75;0.046
344;0.05
344.25;0.042
344.5;0.046
344.75;0.046
345;0.05
345.25;0.042
345.5;0.046
345.75;0.046
346;0.05
346.25;0.042
346.5;0.044
346.75;0.044
347;0.05
347.25;0.042
347.5;0.046
347.75;0.046
348;0.05
348.25;0.04
348.5;0.046
348.75;0.046
349;0.048
349.25;0.04
349.5;0.042
349.75;0.044
350;0.05
350.25;0.04
350.5;0.046
350.75;0.04
351;0.05
351.25;0.04
351.5;0.044
351.75;0.044
352;0.05
352.25;0.04
352.5;0.042
352.75;0.042
353;0.048
353.25;0.038
353.5;0.044
353.75;0.042
354;0.048
354.25;0.038
354.5;0.044
354.75;0.042
355;0.046
355.25;0.038
